"收  支  科  目",額 或 價 額,備       註,,
"前期賸餘","8,469,979","收支結存內金錢餘額:4,573,854錢以外之財產:3,896,125",,
"本期收入",其他收入,"1,803,027","利息收入:3,027賣金錢以外之財產現金收入:1,800,000",
"本期支出",當選後與其公務有關之費用支出,"4,955,998","支出合計6,530,798","超過三萬元之支出總額:3,806,535金錢支出總額:6,384,673非金錢支出總額:146,125結算日專戶存款餘額:510"
"",捐贈政治團體或所屬政黨支出,0,,
"",捐贈教育、文化、公益、慈善機構或團體支出,"1,574,800",,
"",參加公職人員選舉使用支出,0,,
"",返還捐贈支出,0,,
"",繳庫支出,0,,
"調整",加,購買金錢以外之財產,,
"減",變賣前期金錢以外之財產,0,,
"減",變賣本期金錢以外財產,"3,750,00",,
"本期餘額","-7,792","收支結存內金錢餘額: -7,792金錢以外之財產: 0",,
